frame,seconds,midi,note,velocity,instrument,pan
795,26.500,0,C-1,0.1,3,0
810,27.000,0,C-1,0.1,2,0
825,27.500,0,C-1,0.1,3,0
840,28.000,79,G5,0.67,0,0.16
855,28.500,77,F5,0.48,0,0.16
870,29.000,74,D5,0.67,0,0.16
885,29.500,79,G5,0.48,0,0.16
840,28.000,43,G2,0.6,1,-0.12
870,29.000,50,D3,0.39,1,-0.12
840,28.000,67,G4,0.22,0,-0.24
845,28.167,74,D5,0.22,0,-0.24
850,28.333,71,B4,0.22,0,-0.24
855,28.500,74,D5,0.22,0,-0.24
860,28.667,67,G4,0.22,0,-0.24
865,28.833,74,D5,0.22,0,-0.24
870,29.000,71,B4,0.22,0,-0.24
875,29.167,74,D5,0.22,0,-0.24
880,29.333,67,G4,0.22,0,-0.24
885,29.500,74,D5,0.22,0,-0.24
890,29.667,71,B4,0.22,0,-0.24
895,29.833,74,D5,0.22,0,-0.24
840,28.000,0,C-1,0.1,2,0
855,28.500,0,C-1,0.1,3,0
870,29.000,0,C-1,0.1,2,0
885,29.500,0,C-1,0.1,3,0
900,30.000,76,E5,0.67,0,0.16
915,30.500,74,D5,0.48,0,0.16
930,31.000,72,C5,0.67,0,0.16
945,31.500,72,C5,0.48,0,0.16
900,30.000,36,C2,0.6,1,-0.12
930,31.000,43,G2,0.39,1,-0.12
900,30.000,60,C4,0.22,0,-0.24
905,30.167,67,G4,0.22,0,-0.24
910,30.333,64,E4,0.22,0,-0.24
915,30.500,67,G4,0.22,0,-0.24
920,30.667,60,C4,0.22,0,-0.24
925,30.833,67,G4,0.22,0,-0.24
930,31.000,64,E4,0.22,0,-0.24
935,31.167,67,G4,0.22,0,-0.24
940,31.333,60,C4,0.22,0,-0.24
945,31.500,67,G4,0.22,0,-0.24
950,31.667,64,E4,0.22,0,-0.24
955,31.833,67,G4,0.22,0,-0.24
900,30.000,0,C-1,0.1,2,0
915,30.500,0,C-1,0.1,3,0
930,31.000,0,C-1,0.1,2,0
945,31.500,0,C-1,0.1,3,0
960,32.000,76,E5,0.67,0,0.16
975,32.500,74,D5,0.48,0,0.16
990,33.000,72,C5,0.67,0,0.16
1005,33.500,76,E5,0.48,0,0.16
960,32.000,36,C2,0.6,1,-0.12
990,33.000,43,G2,0.39,1,-0.12
960,32.000,60,C4,0.22,0,-0.24
965,32.167,67,G4,0.22,0,-0.24
970,32.333,64,E4,0.22,0,-0.24
975,32.500,67,G4,0.22,0,-0.24
980,32.667,60,C4,0.22,0,-0.24
985,32.833,67,G4,0.22,0,-0.24
990,33.000,64,E4,0.22,0,-0.24
995,33.167,67,G4,0.22,0,-0.24
1000,33.333,60,C4,0.22,0,-0.24
1005,33.500,67,G4,0.22,0,-0.24
1010,33.667,64,E4,0.22,0,-0.24
1015,33.833,67,G4,0.22,0,-0.24
960,32.000,0,C-1,0.1,2,0
975,32.500,0,C-1,0.1,3,0
990,33.000,0,C-1,0.1,2,0
1005,33.500,0,C-1,0.1,3,0
1020,34.000,77,F5,0.67,0,0.16
1035,34.500,76,E5,0.48,0,0.16
1050,35.000,74,D5,0.67,0,0.16
1065,35.500,72,C5,0.48,0,0.16
1020,34.000,41,F2,0.6,1,-0.12
1050,35.000,48,C3,0.39,1,-0.12
1020,34.000,65,F4,0.22,0,-0.24
1025,34.167,72,C5,0.22,0,-0.24
1030,34.333,69,A4,0.22,0,-0.24
1035,34.500,72,C5,0.22,0,-0.24
1040,34.667,65,F4,0.22,0,-0.24
1045,34.833,72,C5,0.22,0,-0.24
1050,35.000,69,A4,0.22,0,-0.24
1055,35.167,72,C5,0.22,0,-0.24
1060,35.333,65,F4,0.22,0,-0.24
1065,35.500,72,C5,0.22,0,-0.24
1070,35.667,69,A4,0.22,0,-0.24
1075,35.833,72,C5,0.22,0,-0.24
1020,34.000,0,C-1,0.1,2,0
1035,34.500,0,C-1,0.1,3,0
1050,35.000,0,C-1,0.1,2,0
1065,35.500,0,C-1,0.1,3,0
1080,36.000,74,D5,0.67,0,0.16
1095,36.500,76,E5,0.48,0,0.16
1110,37.000,74,D5,0.67,0,0.16
1125,37.500,79,G5,0.48,0,0.16
1080,36.000,43,G2,0.6,1,-0.12
1110,37.000,50,D3,0.39,1,-0.12
1080,36.000,67,G4,0.22,0,-0.24
1085,36.167,74,D5,0.22,0,-0.24
1090,36.333,71,B4,0.22,0,-0.24
1095,36.500,74,D5,0.22,0,-0.24
1100,36.667,67,G4,0.22,0,-0.24
1105,36.833,74,D5,0.22,0,-0.24
1110,37.000,71,B4,0.22,0,-0.24
1115,37.167,74,D5,0.22,0,-0.24
1120,37.333,67,G4,0.22,0,-0.24
1125,37.500,74,D5,0.22,0,-0.24
1130,37.667,71,B4,0.22,0,-0.24
1135,37.833,74,D5,0.22,0,-0.24
1080,36.000,0,C-1,0.1,2,0
1095,36.500,0,C-1,0.1,3,0
1110,37.000,0,C-1,0.1,2,0
1125,37.500,0,C-1,0.1,3,0
1140,38.000,76,E5,0.67,0,0.16
1155,38.500,74,D5,0.48,0,0.16
1170,39.000,72,C5,0.67,0,0.16
1185,39.500,72,C5,0.48,0,0.16
1140,38.000,36,C2,0.6,1,-0.12
1170,39.000,43,G2,0.39,1,-0.12
1140,38.000,60,C4,0.22,0,-0.24
1145,38.167,67,G4,0.22,0,-0.24
1150,38.333,64,E4,0.22,0,-0.24
1155,38.500,67,G4,0.22,0,-0.24
1160,38.667,60,C4,0.22,0,-0.24
1165,38.833,67,G4,0.22,0,-0.24
1170,39.000,64,E4,0.22,0,-0.24
1175,39.167,67,G4,0.22,0,-0.24
1180,39.333,60,C4,0.22,0,-0.24
1185,39.500,67,G4,0.22,0,-0.24
1190,39.667,64,E4,0.22,0,-0.24
1195,39.833,67,G4,0.22,0,-0.24
1140,38.000,0,C-1,0.1,2,0
1155,38.500,0,C-1,0.1,3,0
1170,39.000,0,C-1,0.1,2,0
1185,39.500,0,C-1,0.1,3,0
1200,40.000,79,G5,0.67,0,0.16
1215,40.500,76,E5,0.48,0,0.16
1230,41.000,74,D5,0.67,0,0.16
1245,41.500,72,C5,0.48,0,0.16
1200,40.000,36,C2,0.6,1,-0.12
1230,41.000,43,G2,0.39,1,-0.12
1200,40.000,60,C4,0.22,0,-0.24
1205,40.167,67,G4,0.22,0,-0.24
1210,40.333,64,E4,0.22,0,-0.24
1215,40.500,67,G4,0.22,0,-0.24
1220,40.667,60,C4,0.22,0,-0.24
1225,40.833,67,G4,0.22,0,-0.24
1230,41.000,64,E4,0.22,0,-0.24
1235,41.167,67,G4,0.22,0,-0.24
1240,41.333,60,C4,0.22,0,-0.24
1245,41.500,67,G4,0.22,0,-0.24
1250,41.667,64,E4,0.22,0,-0.24
1255,41.833,67,G4,0.22,0,-0.24
1200,40.000,0,C-1,0.1,2,0
1215,40.500,0,C-1,0.1,3,0
1230,41.000,0,C-1,0.1,2,0
1245,41.500,0,C-1,0.1,3,0
1260,42.000,77,F5,0.67,0,0.16
1275,42.500,79,G5,0.48,0,0.16
1290,43.000,81,A5,0.67,0,0.16
1305,43.500,77,F5,0.48,0,0.16
1260,42.000,41,F2,0.6,1,-0.12
1290,43.000,48,C3,0.39,1,-0.12
1260,42.000,65,F4,0.22,0,-0.24
1265,42.167,72,C5,0.22,0,-0.24
1270,42.333,69,A4,0.22,0,-0.24
1275,42.500,72,C5,0.22,0,-0.24
1280,42.667,65,F4,0.22,0,-0.24
1285,42.833,72,C5,0.22,0,-0.24
1290,43.000,69,A4,0.22,0,-0.24
1295,43.167,72,C5,0.22,0,-0.24
1300,43.333,65,F4,0.22,0,-0.24
1305,43.500,72,C5,0.22,0,-0.24
1310,43.667,69,A4,0.22,0,-0.24
1315,43.833,72,C5,0.22,0,-0.24
1260,42.000,0,C-1,0.1,2,0
